,Changepoint,M1,E1,M2,E2
0,76,2,0.75,2,0.25
1,61,1,0.25,4,1.05
2,53,3,1.1,2,1.6
3,67,0,0.4,4,0.5
4,195,0,0.6,4,0.4
5,13,1,0.1,3,1.9
6,189,2,0.85,0,0.75
7,198,4,1.15,0,0.2
8,69,2,0.05,1,0.15
9,91,1,0.05,0,0.35
10,29,3,1.05,2,1.35
11,191,1,0.55,4,1.5
12,81,2,0.85,3,1.5
13,35,3,1.5,3,1.55
14,50,0,0.65,4,0.05
15,102,4,1.45,0,0.3
16,45,4,1.9,3,1.75
17,170,1,0.95,2,0.95
18,69,4,0.6,2,1.55
19,95,2,0.55,3,1.3
20,189,3,1.15,4,1.3
21,90,1,0.3,4,0.2
22,124,4,1.3,2,0.85
23,195,0,0.3,1,0.6
24,167,2,1.65,1,0.45
25,119,2,1.7,0,0.2
26,127,2,0.2,4,0.2
27,163,1,0.9,2,1.1
28,15,2,1.25,0,0.45
29,195,3,1.75,3,1.25
30,19,2,1.4,1,0.85
31,183,1,0.1,4,1.9
32,61,1,0.6,1,0.65
33,33,3,1.4,2,0.2
34,78,4,1.75,1,0.25
35,183,1,0.25,4,0.3
36,156,0,0.55,0,0.95
37,105,4,1.1,4,0.4
38,20,1,0.15,4,1.1
39,40,2,1.6,2,0.85
40,86,1,0.55,4,0.1
41,89,1,0.7,1,0.15
42,24,4,1.45,3,1.5
43,51,3,1.8,0,0.35
44,34,2,0.75,4,0.45
45,139,1,0.1,0,0.45
46,105,2,1.95,4,1.3
47,193,4,1.45,2,1.75
48,49,3,1.45,2,0.65
49,62,2,1.05,2,1.35
50,105,2,1.3,0,0.7
51,34,0,0.15,2,0.1
52,16,0,0.4,2,0.2
53,85,3,1.95,1,0.6
54,127,0,0.45,4,1.05
55,183,0,0.6,3,1.5
56,86,1,1.0,0,0.75
57,196,3,1.5,1,0.55
58,36,4,1.5,3,1.6
59,44,4,1.1,3,1.35
60,178,4,0.35,2,1.4
61,43,2,1.6,2,0.05
62,165,2,1.7,1,0.6
63,140,3,1.7,0,0.85
64,168,2,0.8,1,0.15
65,162,4,1.45,0,0.85
66,154,1,1.0,0,0.65
67,183,0,0.7,2,0.3
68,26,0,0.95,0,0.5
69,169,1,0.8,3,1.6
70,115,3,1.45,0,0.7
71,15,1,0.75,1,1.0
72,9,1,1.0,2,0.4
73,197,0,0.8,2,0.6
74,196,0,0.5,0,0.7
75,190,4,0.9,0,0.5
76,141,4,1.05,4,0.05
77,115,1,0.7,0,0.8
78,136,4,1.8,2,0.2
79,168,4,1.4,3,1.95
80,181,4,0.3,0,0.95
81,29,2,1.6,0,0.45
82,32,2,1.5,1,0.3
83,189,3,1.25,0,0.45
84,196,1,0.75,3,1.25
85,59,0,1.0,3,1.7
86,139,2,1.05,3,1.75
87,163,2,1.3,4,0.5
88,88,3,1.1,4,0.35
89,189,1,0.75,1,0.15
90,81,0,0.55,1,0.1
91,194,2,1.45,4,1.05
92,178,4,1.45,0,0.65
93,145,0,0.05,4,0.6
94,53,1,0.85,0,0.8
95,80,2,0.25,0,0.75
96,25,1,0.5,3,1.15
97,128,1,0.2,1,0.8
98,171,2,0.5,1,0.05
99,139,0,0.5,0,0.4
100,186,1,0.65,1,0.6
101,198,3,1.3,0,0.6
102,172,1,0.95,1,0.25
103,112,0,0.3,1,0.3
104,196,1,0.55,4,1.2
105,178,1,0.85,1,0.15
106,84,0,0.35,4,0.2
107,124,1,0.45,4,0.6
108,151,2,0.6,0,0.55
109,189,3,1.6,0,0.75
110,194,3,1.45,3,1.8
111,123,4,1.7,4,1.1
112,9,0,0.15,0,0.95
113,21,2,1.3,1,0.4
114,136,4,1.8,2,0.6
115,155,4,1.1,0,0.8
116,7,3,1.1,4,0.8
117,38,3,1.25,0,0.45
118,91,4,0.75,1,0.8
119,117,4,0.05,3,1.7
120,53,3,1.7,4,0.95
121,18,4,1.25,3,2.0
122,158,2,1.0,3,1.7
123,129,0,0.05,4,0.2
124,115,3,1.75,2,1.75
125,190,2,0.05,3,1.9
126,160,2,1.25,3,1.2
127,115,2,1.55,2,1.0
128,73,1,0.35,3,1.3
129,2,0,0.85,4,2.0
130,25,3,1.6,2,1.2
131,63,3,1.05,1,0.75
132,126,4,1.95,1,0.25
133,5,4,1.55,1,0.55
