"","V1","V2"
"1",1,1.55
"2",1,0.65
"3",1,1.85
"4",1,0.95
"5",1,0.15
"6",1,1.55
"7",1,0.15
"8",1,1.65
"9",1,0.85
"10",1,0.95
"11",1,1.95
"12",1,1.85
"13",1,0.25
"14",1,1.3
"15",1,1.65
"16",1,0.75
"17",1,1.25
"18",1,1.25
"19",1,0.3
"20",1,0.15
"21",1,0.25
"22",1,1.4
"23",1,0.05
"24",1,1.8
"25",1,0.05
"26",1,0.1
"27",1,0.1
"28",1,0.85
"29",1,0.65
"30",1,0.1
"31",1,0.75
"32",1,1
"33",1,1.2
"34",1,0.8
"35",1,0.35
"36",1,1.45
"37",1,1.9
"38",1,0.2
"39",1,1.75
"40",1,0.25
"41",1,1.8
"42",1,1.75
"43",1,0.4
"44",1,1.4
"45",1,1.5
"46",1,1.3
"47",1,0.8
"48",1,0.95
"49",1,1.65
"50",1,0.75
"51",1,0.8
"52",1,1.7
"53",1,1.85
"54",1,1.4
"55",1,1.3
"56",1,1.2
"57",1,0.9
"58",1,1.75
"59",1,0.75
"60",1,0.2
"61",1,0.05
"62",1,0.05
"63",1,1.6
"64",1,1.85
"65",1,1.7
"66",1,0.55
"67",1,1.8
"68",1,0.1
"69",1,1.5
"70",1,1.3
"71",1,0.85
"72",1,1.95
"73",1,0.6
"74",1,0.35
"75",1,0.05
"76",1,1.25
"77",1,1.2
"78",1,1.1
"79",1,0.15
"80",1,0.15
"81",1,0.8
"82",1,0.6
"83",1,0.5
"84",1,0.1
"85",1,0.3
"86",1,0.25
"87",1,1.15
"88",1,1.35
"89",1,1
"90",1,0.1
"91",1,1.95
"92",1,1.1
"93",1,0.4
"94",1,1.65
"95",1,1.65
"96",1,1.6
"97",1,1.45
"98",1,1.9
"99",1,0.05
"100",1,0.25
"101",1,1.25
"102",1,1.7
"103",1,0.2
"104",1,1.15
"105",1,1.7
"106",1,0.45
"107",1,0.75
"108",1,1.7
"109",1,0.1
"110",1,1.35
"111",1,0.55
"112",1,0.2
"113",1,0.95
"114",1,1.3
"115",1,1
"116",1,1.35
"117",1,0.25
"118",1,1.45
"119",1,1.75
"120",1,0.9
"121",1,1.45
"122",1,1.85
"123",1,0.9
"124",1,1.55
"125",1,1.3
"126",1,0.25
"127",1,0.5
"128",1,1.25
"129",1,0.15
"130",1,0.4
"131",1,0.65
"132",1,1.85
"133",1,1.25
"134",1,0.35
"135",1,1.05
"136",1,0.35
"137",1,1.95
"138",1,1.45
"139",1,1.7
"140",1,1.55
"141",1,0.4
"142",1,0.5
"143",1,0.05
"144",1,0.95
"145",1,1.1
"146",1,1.35
"147",1,0.9
"148",1,0.2
"149",1,1
"150",1,0.1
"151",1,0.25
"152",1,0.15
"153",1,0.45
"154",1,0.1
"155",1,0.4
"156",1,0.35
"157",1,1.8
"158",1,0.15
"159",1,0.15
"160",1,0.2
"161",1,1.85
"162",1,2
"163",1,1.75
"164",1,0.9
"165",1,1.65
"166",1,1.8
