"","V1","V2","V3","V4","V5","V6"
"1",1,76,2,0.75,2,0.25
"2",1,61,1,0.25,4,1.05
"3",1,53,3,1.1,2,1.6
"4",1,67,0,0.4,4,0.5
"5",1,195,0,0.6,4,0.4
"6",1,13,1,0.1,3,1.9
"7",1,189,2,0.85,0,0.75
"8",1,198,4,1.15,0,0.2
"9",1,69,2,0.05,1,0.15
"10",1,91,1,0.05,0,0.35
"11",1,29,3,1.05,2,1.35
"12",1,191,1,0.55,4,1.5
"13",1,81,2,0.85,3,1.5
"14",1,35,3,1.5,3,1.55
"15",1,50,0,0.65,4,0.05
"16",1,102,4,1.45,0,0.3
"17",1,45,4,1.9,3,1.75
"18",1,170,1,0.95,2,0.95
"19",1,69,4,0.6,2,1.55
"20",1,95,2,0.55,3,1.3
"21",1,189,3,1.15,4,1.3
"22",1,90,1,0.3,4,0.2
"23",1,124,4,1.3,2,0.85
"24",1,195,0,0.3,1,0.6
"25",1,167,2,1.65,1,0.45
"26",1,119,2,1.7,0,0.2
"27",1,127,2,0.2,4,0.2
"28",1,163,1,0.9,2,1.1
"29",1,15,2,1.25,0,0.45
"30",1,195,3,1.75,3,1.25
"31",1,19,2,1.4,1,0.85
"32",1,183,1,0.1,4,1.9
"33",1,61,1,0.6,1,0.65
"34",1,33,3,1.4,2,0.2
"35",1,78,4,1.75,1,0.25
"36",1,183,1,0.25,4,0.3
"37",1,156,0,0.55,0,0.95
"38",1,105,4,1.1,4,0.4
"39",1,20,1,0.15,4,1.1
"40",1,40,2,1.6,2,0.85
"41",1,86,1,0.55,4,0.1
"42",1,89,1,0.7,1,0.15
"43",1,24,4,1.45,3,1.5
"44",1,51,3,1.8,0,0.35
"45",1,34,2,0.75,4,0.45
"46",1,139,1,0.1,0,0.45
"47",1,105,2,1.95,4,1.3
"48",1,193,4,1.45,2,1.75
"49",1,49,3,1.45,2,0.65
"50",1,62,2,1.05,2,1.35
"51",1,105,2,1.3,0,0.7
"52",1,34,0,0.15,2,0.1
"53",1,16,0,0.4,2,0.2
"54",1,85,3,1.95,1,0.6
"55",1,127,0,0.45,4,1.05
"56",1,183,0,0.6,3,1.5
"57",1,86,1,1,0,0.75
"58",1,196,3,1.5,1,0.55
"59",1,36,4,1.5,3,1.6
"60",1,44,4,1.1,3,1.35
"61",1,178,4,0.35,2,1.4
"62",1,43,2,1.6,2,0.05
"63",1,165,2,1.7,1,0.6
"64",1,140,3,1.7,0,0.85
"65",1,168,2,0.8,1,0.15
"66",1,162,4,1.45,0,0.85
"67",1,154,1,1,0,0.65
"68",1,183,0,0.7,2,0.3
"69",1,26,0,0.95,0,0.5
"70",1,169,1,0.8,3,1.6
"71",1,115,3,1.45,0,0.7
"72",1,15,1,0.75,1,1
"73",1,9,1,1,2,0.4
"74",1,197,0,0.8,2,0.6
"75",1,196,0,0.5,0,0.7
"76",1,190,4,0.9,0,0.5
"77",1,141,4,1.05,4,0.05
"78",1,115,1,0.7,0,0.8
"79",1,136,4,1.8,2,0.2
"80",1,168,4,1.4,3,1.95
"81",1,181,4,0.3,0,0.95
"82",1,29,2,1.6,0,0.45
"83",1,32,2,1.5,1,0.3
"84",1,189,3,1.25,0,0.45
"85",1,196,1,0.75,3,1.25
"86",1,59,0,1,3,1.7
"87",1,139,2,1.05,3,1.75
"88",1,163,2,1.3,4,0.5
"89",1,88,3,1.1,4,0.35
"90",1,189,1,0.75,1,0.15
"91",1,81,0,0.55,1,0.1
"92",1,194,2,1.45,4,1.05
"93",1,178,4,1.45,0,0.65
"94",1,145,0,0.05,4,0.6
"95",1,53,1,0.85,0,0.8
"96",1,80,2,0.25,0,0.75
"97",1,25,1,0.5,3,1.15
"98",1,128,1,0.2,1,0.8
"99",1,171,2,0.5,1,0.05
"100",1,139,0,0.5,0,0.4
"101",1,186,1,0.65,1,0.6
"102",1,198,3,1.3,0,0.6
"103",1,172,1,0.95,1,0.25
"104",1,112,0,0.3,1,0.3
"105",1,196,1,0.55,4,1.2
"106",1,178,1,0.85,1,0.15
"107",1,84,0,0.35,4,0.2
"108",1,124,1,0.45,4,0.6
"109",1,151,2,0.6,0,0.55
"110",1,189,3,1.6,0,0.75
"111",1,194,3,1.45,3,1.8
"112",1,123,4,1.7,4,1.1
"113",1,9,0,0.15,0,0.95
"114",1,21,2,1.3,1,0.4
"115",1,136,4,1.8,2,0.6
"116",1,155,4,1.1,0,0.8
"117",1,7,3,1.1,4,0.8
"118",1,38,3,1.25,0,0.45
"119",1,91,4,0.75,1,0.8
"120",1,117,4,0.05,3,1.7
"121",1,53,3,1.7,4,0.95
"122",1,18,4,1.25,3,2
"123",1,158,2,1,3,1.7
"124",1,129,0,0.05,4,0.2
"125",1,115,3,1.75,2,1.75
"126",1,190,2,0.05,3,1.9
"127",1,160,2,1.25,3,1.2
"128",1,115,2,1.55,2,1
"129",1,73,1,0.35,3,1.3
"130",1,2,0,0.85,4,2
"131",1,25,3,1.6,2,1.2
"132",1,63,3,1.05,1,0.75
"133",1,126,4,1.95,1,0.25
"134",1,5,4,1.55,1,0.55
"135",1,142,1,0.3,3,1.05
"136",1,25,0,0.95,0,0.6
"137",1,53,2,0.15,4,0.15
"138",1,163,3,1.65,2,1.65
"139",1,175,4,1.45,3,1.75
"140",1,161,2,1.35,2,1.55
"141",1,4,0,0.65,0,0.85
"142",1,154,0,0.95,3,1.65
"143",1,10,2,0.25,2,0.45
"144",1,88,0,0.6,1,0.8
"145",1,4,1,0.55,3,1.15
"146",1,46,2,0.5,3,1.35
"147",1,44,3,1.85,2,0.7
"148",1,116,4,0.7,4,0.55
"149",1,144,3,1.6,0,0.7
"150",1,50,0,0.9,2,1.75
"151",1,119,3,1.6,0,0.15
"152",1,39,0,0.1,4,1.7
"153",1,11,1,0.65,1,0.85
"154",1,114,4,0.05,4,1.7
"155",1,26,2,0.85,3,1.45
"156",1,26,0,0.95,2,1.55
"157",1,198,2,0.3,2,1.05
"158",1,171,2,1.35,0,0.35
"159",1,48,3,1.65,4,2
"160",1,34,2,1.15,3,1.6
"161",1,176,2,0.95,1,0.1
"162",1,182,1,0.35,1,0.9
"163",1,98,2,1.95,0,0.5
"164",1,196,0,0.9,2,1.15
"165",1,30,3,1.05,2,0.5
"166",1,197,4,0.75,1,0.15
"167",1,136,1,0.55,4,1.7
"168",1,167,4,1.65,4,0.95
